,0,1
0,"[2682.251386864798, 5955.920778349768, 5955.920778349768, 1020.2054711687307, 0.3775530211664937, -75.31011488540078, 83.35233106374065, 10.69223935438999, 14.464299130753197, 14.244169504803818, 7.392611669502721, 5.275317702857242, -0.39453637868541963, 5.729705177117837, 3.36803794620717, -2.524067409643096, -4.2162633119696915, -1.8392584131934795, -5.900947363673284, -1.2692762097930328, -3.7702647968995984, -2.859171395059905, -0.9342394839112126, -1.1155206039367607, -2.7062466462285224, 83.35433467741936, 604.525]",pop
1,"[2835.1038148524094, 5944.9793131888055, 5944.9793131888055, 1372.4028879643963, 0.42310017287556106, -68.92820718882072, 73.75994268041894, -12.47208718020157, 9.549263583851094, -0.03781450711738797, 12.726261007744602, 3.162044131127548, -0.07234967771623318, 2.53484041845785, 2.8828866915092384, -1.6711936698080128, -3.0158862918036573, 1.618293982302055, 1.0943088493391506, 0.9394193512174197, -0.408881177005625, -1.2358233274666195, -0.7547861894343112, -1.702523457914506, -1.0387557435719021, 99.38401442307692, 620.7708333333334]",pop
2,"[4225.533439481144, 8483.474172074391, 8483.474172074391, 2290.1146478328174, 0.426759334643664, -113.11221871124285, 41.59604634071777, 21.518062885076258, 11.100334251860785, 17.437881075873133, 0.6109428199244699, 3.028696745106083, 0.08602718975302227, 3.4537453793151855, 0.2898048584515761, 0.6200563206369246, 1.2606358360620775, 2.900202591608953, -0.7769367422924535, 0.21887166043581618, -1.4046766205345873, -0.7559468494794821, -0.8648278809337406, -1.5374830565859392, 1.0743004683353055, 95.703125, 641.1086956521739]",pop
3,"[2525.4194467393454, 5552.776915512616, 5552.776915512616, 1036.5923713235295, 0.33489370877208086, -73.32221365697515, 97.48885024947981, 16.858401036428383, -0.5870170139846572, 7.188521544704766, 4.874156448674656, 0.7597466995257323, -5.54697450211708, 1.0016086976727085, 4.935908843611413, -5.822524999691871, -4.918010095877169, -0.025516585139427984, -3.0373608281896454, -0.14912380664147465, -2.377524929312183, 0.7289527832440607, 0.6958161636492088, 1.976200651338728, 0.8047238073511856, 151.99908088235293, 610.4861111111111]",pop
4,"[3070.6080378870274, 6653.018677041038, 6653.018677041038, 1489.2729295665636, 0.3576559051115455, -18.11585025882887, 72.2822014117657, -4.890480361098357, -0.3786565992788255, 1.6858676661662135, -0.925049716753512, -1.3303346466091646, -0.34385181823667593, 0.6519968958459252, -0.18630705925084218, -1.2250085633958168, -1.0495668935971485, 2.526758439020127, 1.2430047035490392, 1.7460995238787664, -3.443541543711599, 0.3958154287434728, -0.8567127635655688, 0.9255050997616866, 1.66231339578762, 95.703125, 638.4468085106383]",pop
5,"[3300.9350736594915, 7301.3213049231435, 7301.3213049231435, 1446.4613970588234, 0.41102461407768165, -40.8497610059493, 61.54215788599385, 9.869021567560495, 10.097552387828927, 8.453919892021888, 5.374486918946807, 8.387451787357326, 3.5232912973730186, 8.251685817481548, 5.879449778281079, -0.09426898093084057, -0.5564107159715029, 0.5585267213520622, -1.9814056919623018, 1.91046359579748, 0.07979867654815882, -1.264086952050339, 1.2358851450141193, 1.498468395359845, 0.9479772779061459, 117.45383522727273, 618.2456140350877]",pop
6,"[3433.855740056476, 7932.545588022042, 7932.545588022042, 1278.5410216718267, 0.40998203275551515, -48.92813485327203, 62.62800562177374, 34.241660354566754, 12.32688657425695, 16.562141342469467, 8.609262288608157, 8.763157238367903, 5.252517420446812, 6.7963594289617095, 9.0620779617871, -4.081604445890376, -0.7419593800386521, -0.38008655711531064, -0.48012347297616986, 0.648267831494923, 1.718629268591368, 1.3623147470687067, 1.922330709637648, 3.8606877919721505, 1.617846088483094, 123.046875, 642.5833333333334]",pop
7,"[3131.3463858152077, 6553.537943191705, 6553.537943191705, 1562.3185952012384, 0.376470885931357, -25.0657965896494, 70.80748985998967, 2.9264857819845504, 7.52171752289187, 1.446749093933623, 2.8525903355936135, 1.9139163969929769, -6.818452201278544, 0.30294675022660067, -1.939453448277847, -6.649905980164133, -0.2511246489952942, -0.7599175539862372, -4.253173296944613, -2.4343378949976273, -5.674148976744399, -1.5677060097271083, 0.6695891582217826, 1.6903057332107205, 0.7862964594150244, 92.28515625, 626.0869565217391]",pop
8,"[2927.7783289953745, 6814.675910400957, 6814.675910400957, 1058.43653250774, 0.3303054553863706, -106.77867641341116, 81.0413347320798, 47.81689061429599, 13.655078752388624, 13.015091478176517, 6.872176104132688, 7.591492852755423, -2.6334572945102885, -2.508391802843965, 1.8694511869231714, -5.137180992582469, -2.7405780942823603, -3.667397679733927, -7.882542617511358, -4.798598555709095, -6.369208270463259, -7.385785882825365, -4.734884049012807, -0.13157079684035258, -2.322850187543574, 151.99908088235293, 639.5405405405405]",pop
9,"[3110.86595840802, 6744.905334614269, 6744.905334614269, 1531.1472039473683, 0.36608104601533453, -18.793586491044305, 71.32501880761141, -3.7600764429474145, -1.3984598663164767, 0.7096322820435997, -1.0619027523135685, -1.056885441082912, -0.24691873130403566, 0.6303536763056921, 0.432818903991774, -1.502138221859099, -1.0759682655786733, 2.4199402034574677, 1.2465540411579903, 0.967375912920515, -3.590711909572979, 0.8884963854776092, -0.5063392740463347, 0.7062256220778211, 1.665520448747395, 95.703125, 643.0416666666666]",pop
